rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
66,Desmond Bane,SG/SF,ORL,28.2,71,1441,0.483,0.908,2.0,20.1,4.1,4.1,1.0,0.5,2.0
67,Walker Kessler,C,LAL,25.1,36,1722,0.703,0.700,1.2,14.4,10.8,3.0,1.4,1.8,3.2
68,Nickeil Alexander-Walker,PG/SG/SF,ATL,28.0,357,1030,0.458,0.903,3.2,20.8,3.4,3.7,1.3,0.5,2.1
69,Kel'el Ware,PF/C,MIL,22.4,85,1390,0.530,0.747,1.2,11.1,9.0,0.7,0.8,1.1,0.8
70,OG Anunoby,SF/PF,NY,29.1,60,1506,0.484,0.828,2.3,16.7,5.2,2.2,1.6,0.7,1.8
71,Michael Porter Jr.,SF/PF,BKN,28.2,89,1372,0.463,0.860,3.4,24.2,7.1,3.0,1.1,0.2,2.3
72,Keegan Murray,SF/PF,SAC,26.0,125,1213,0.420,0.776,1.4,14.0,5.8,1.7,1.0,1.6,1.2
73,Jalen Green,PG/SG/SF,PHO,24.6,107,1294,0.422,0.747,2.2,17.8,3.6,2.8,1.1,0.3,2.3
74,Ja Morant,PG,POR,27.1,77,1411,0.410,0.897,1.0,19.5,3.3,8.1,1.0,0.3,3.6
75,Julius Randle,PF/C,BKN,31.8,108,1293,0.481,0.802,1.4,21.1,6.7,5.0,1.1,0.2,2.8
76,Fred VanVleet,PG,HOU,32.5,148,1164,,,,,,,,,
77,Scoot Henderson,PG,POR,22.6,105,1318,0.418,0.840,1.9,14.2,2.7,3.7,0.9,0.3,2.4
78,Derrick White,PG/SG,BOS,32.2,78,1410,0.394,0.902,2.7,16.5,4.4,5.4,1.1,1.3,1.7
79,Naz Reid,PF/C,CHA,27.0,95,1349,0.456,0.732,2.1,13.6,6.2,2.2,1.0,1.0,1.6
80,Kevin Durant,SG/SF/PF,HOU,37.9,72,1432,0.521,0.874,2.4,26.0,5.4,4.8,0.8,0.9,3.2
81,Jaden McDaniels,SF/PF,MIN,25.9,61,1493,0.515,0.835,1.4,14.8,4.2,2.7,1.1,1.0,1.8
82,Brandon Ingram,SG/SF/PF,LAC,29.0,69,1444,0.477,0.820,1.8,21.5,5.6,3.7,0.8,0.7,2.4
83,Derik Queen,PF/C,NO,21.7,53,1580,0.473,0.795,0.3,11.7,7.0,3.7,1.0,0.9,2.3
84,Brayden Burries,SG/PG,MIL,21.0,80,1404,,,,,,,,,
85,Kingston Flemings,PG,ATL,19.7,101,1332,,,,,,,,,
86,Collin Murray-Boyles,PF/C,TOR,21.2,57,1547,0.579,0.657,0.3,8.5,5.0,1.9,0.9,0.9,1.0
87,Reed Sheppard,PG/SG,HOU,22.2,103,1323,0.430,0.802,2.8,13.5,2.9,3.4,1.5,0.7,1.5
88,Immanuel Quickley,PG/SG,TOR,27.2,104,1319,0.443,0.821,2.5,16.4,4.0,5.9,1.3,0.1,1.5
89,Dejounte Murray,PG/SG,NO,30.0,96,1348,0.484,0.867,1.4,16.7,5.4,6.4,1.6,0.2,3.4
90,Ajay Mitchell,PG/SG,OKC,24.2,146,1167,0.485,0.870,1.1,13.6,3.3,3.6,1.2,0.3,1.4
91,Mikal Bridges,SG/SF/PF,NY,30.0,106,1309,0.490,0.827,1.9,14.4,3.8,3.7,1.3,0.8,1.0
92,Isaiah Hartenstein,C,OKC,28.3,113,1276,0.622,0.610,0.0,9.2,9.4,3.5,1.0,0.8,1.7
93,Anthony Black,PG/SG/SF,ORL,22.6,82,1398,0.446,0.732,1.6,15.0,3.8,3.7,1.4,0.7,2.0
94,Kyshawn George,SG/SF/PF,WAS,22.7,93,1363,0.438,0.802,2.1,14.8,5.1,4.5,1.0,0.9,2.6
95,Jalen Suggs,PG/SG,ORL,25.2,99,1333,0.435,0.855,2.1,13.8,3.9,5.5,1.8,0.7,2.7
96,Kyrie Irving,PG,DAL,34.4,114,1274,,,,,,,,,
97,Jabari Smith Jr.,SF/PF/C,HOU,23.3,84,1393,0.450,0.775,2.3,15.8,6.9,1.9,0.7,0.9,1.4
98,Mark Williams,C,PHO,24.7,172,1128,0.644,0.771,0.0,11.7,7.9,1.0,0.9,0.9,1.1
99,Nicolas Claxton,C,CHI,27.4,111,1282,0.571,0.616,0.0,11.7,6.9,3.7,0.7,1.1,1.4
100,Joel Embiid,C,PHI,32.5,118,1253,0.489,0.854,1.4,26.9,7.7,3.9,0.6,1.2,2.9
101,Dyson Daniels,PG/SG/SF,ATL,23.5,62,1493,0.517,0.615,0.3,11.9,6.8,5.9,2.0,0.4,1.8
102,Day'Ron Sharpe,C,BKN,24.8,154,1153,0.603,0.678,0.2,8.7,6.6,2.3,1.1,0.4,1.7
103,Kawhi Leonard,SF/PF,TOR,35.2,83,1395,0.505,0.892,2.7,27.9,6.3,3.6,1.8,0.4,2.0
104,Deandre Ayton,C,WAS,28.1,223,1104,0.671,0.645,0.0,12.5,8.0,0.8,0.6,1.0,1.2
105,Myles Turner,C,MIL,30.4,119,1252,0.438,0.740,2.1,11.9,5.3,1.5,0.7,1.6,1.2
106,Ace Bailey,SG/SF/PF,UTA,20.1,55,1555,0.443,0.750,1.9,13.8,4.2,1.8,0.8,0.7,1.5
107,Norman Powell,SG/SF,CHI,33.3,640,755,0.470,0.827,2.7,21.7,3.5,2.4,1.1,0.2,1.9
108,Jeremiah Fears,PG/SG,NO,19.9,92,1364,0.434,0.789,1.2,14.3,3.7,3.4,1.2,0.4,2.2
109,Morez Johnson Jr.,PF/C,DAL,20.6,110,1283,,,,,,,,,
110,Jarrett Allen,C,CLE,28.4,100,1333,0.639,0.709,0.0,15.4,8.5,1.8,1.0,0.8,1.3
111,Kristaps Porzingis,PF/C,GS,31.1,144,1171,0.446,0.841,1.7,16.6,5.2,2.5,0.6,1.2,1.3
112,Rudy Gobert,C,MIN,34.2,139,1188,0.682,0.526,0.0,10.9,11.5,1.7,0.8,1.6,1.4
113,Zach LaVine,PG/SG/SF,SAC,31.5,192,1111,0.479,0.880,2.5,19.2,2.8,2.3,0.7,0.3,1.9
114,Coby White,PG/SG,CHA,26.5,122,1222,0.446,0.817,2.3,17.4,3.4,4.0,0.5,0.1,2.6
115,Peyton Watson,SF/PF,CLE,24.0,188,1113,0.491,0.730,1.5,14.6,4.9,2.1,1.0,1.1,1.7
116,Brandin Podziemski,PG/SG,GS,23.5,126,1210,0.455,0.797,1.9,13.8,5.1,3.7,1.1,0.2,1.6
117,Cedric Coward,SG/SF,MEM,23.0,76,1414,0.471,0.843,1.5,13.6,5.9,2.8,0.6,0.4,1.7
118,Jaime Jaquez Jr.,SG/SF/PF,MIL,25.5,153,1155,0.507,0.769,0.8,15.4,5.0,4.7,0.7,0.3,2.0
119,Devin Vassell,SG/SF,SA,26.0,117,1254,0.437,0.815,2.5,13.9,4.0,2.5,0.9,0.4,0.9
120,Ryan Rollins,PG/SG,MIL,24.2,633,779,0.472,0.796,2.5,17.3,4.6,5.6,1.5,0.4,2.7
121,Ausar Thompson,SG/SF/PF,DET,23.6,58,1545,0.525,0.571,0.1,9.9,5.7,3.1,2.0,0.9,1.5
122,Toumani Camara,SF/PF/C,POR,26.3,501,960,0.440,0.708,2.7,13.4,5.1,2.5,1.1,0.4,1.8
123,Paul George,SG/SF/PF,BOS,36.3,155,1148,0.439,0.820,2.7,17.3,5.3,3.6,1.6,0.4,1.7
124,Christian Braun,SG/SF/PF,DEN,25.4,131,1202,0.519,0.782,1.0,12.0,4.8,2.7,0.7,0.3,1.0
125,Payton Pritchard,PG,BOS,28.6,406,1009,0.464,0.890,2.7,17.0,3.9,5.2,0.7,0.1,1.4
126,Ayo Dosunmu,PG/SG/SF,MIN,26.6,98,1339,0.517,0.876,1.8,14.8,3.4,3.6,0.8,0.3,1.4
127,Egor Demin,PG/SG,BKN,20.5,67,1448,0.399,0.831,2.4,10.3,3.2,3.3,0.8,0.3,1.7
128,Miles Bridges,SF/PF,PHO,28.5,135,1195,0.460,0.822,1.9,17.1,5.8,3.2,0.6,0.4,1.4
129,Shaedon Sharpe,PG/SG/SF,POR,23.3,94,1361,0.452,0.787,2.1,20.8,4.3,2.6,1.4,0.1,2.9
130,Josh Hart,SG/SF/PF,NY,31.5,109,1288,0.508,0.720,1.5,12.0,7.4,4.8,1.1,0.3,1.9
131,Maxime Raynaud,C,SAC,23.4,115,1273,0.571,0.786,0.3,12.5,7.5,1.4,0.5,0.5,1.3
132,LeBron James,SF/PF,PHI,41.7,142,1182,0.515,0.738,1.3,21.0,6.1,7.2,1.2,0.6,3.0
133,Cason Wallace,PG/SG/SF,OKC,22.8,87,1377,0.432,0.809,1.3,8.6,3.1,2.6,2.0,0.4,0.9
134,Allen Graves,PF/SF,TOR,20.1,183,1117,,,,,,,,,
135,Yaxel Lendeborg,SF/PF,GS,23.9,97,1342,,,,,,,,,
136,Ryan Kalkbrenner,C,CHA,24.6,217,1105,0.753,0.716,0.0,7.6,5.4,0.8,0.5,1.5,0.9
137,Tre Johnson,PG/SG/SF,WAS,20.5,112,1281,0.419,0.865,1.9,12.2,2.8,2.0,0.6,0.3,1.6
138,Jakob Poeltl,C,TOR,30.9,289,1078,0.700,0.602,0.0,10.7,7.0,2.0,0.9,0.7,1.2
139,Bilal Coulibaly,SG/SF,WAS,22.1,158,1146,0.425,0.746,1.2,11.7,4.3,2.6,1.3,1.0,1.4
140,Moussa Diabaté,C,CHA,24.6,129,1208,0.631,0.659,0.0,7.9,8.7,2.0,0.8,1.0,1.0
141,Dereck Lively II,C,DAL,22.6,120,1239,0.611,0.800,0.0,4.3,5.3,1.9,0.6,1.6,1.4
142,Andrew Nembhard,PG/SG,IND,26.6,152,1156,0.442,0.825,1.9,16.9,2.8,7.7,0.9,0.1,2.4
143,Santi Aldama,PF/C,DAL,25.6,123,1220,0.479,0.667,1.6,14.0,6.7,2.9,0.9,0.7,1.3
144,Wendell Carter Jr.,C,ORL,27.4,304,1070,0.512,0.792,0.9,11.8,7.4,2.0,0.8,0.6,1.3
145,Collin Gillespie,PG/SG,PHO,27.2,510,949,0.418,0.874,2.9,12.7,4.1,4.6,1.2,0.2,1.6
146,Andrew Wiggins,SG/SF/PF,MIA,31.5,302,1071,0.475,0.784,2.0,15.4,4.8,2.7,1.1,1.0,1.5
147,Hannes Steinbach,PF/C,CHA,20.3,102,1324,,,,,,,,,
148,Dailyn Swain,SG/SF/PF,CHI,21.1,143,1173,,,,,,,,,
149,Nate Ament,SF/PF,MIL,19.7,178,1120,,,,,,,,,
150,Tari Eason,SG/SF/PF,HOU,25.3,140,1187,0.415,0.776,1.6,10.5,6.3,1.5,1.2,0.5,1.4
151,Cameron Johnson,SG/SF/PF,DEN,30.5,185,1116,0.480,0.839,2.0,12.2,3.8,2.4,0.7,0.4,0.9
152,DeMar DeRozan,SF/PF,DEN,37.1,167,1140,0.497,0.868,0.6,18.4,2.9,4.1,1.0,0.3,1.2
153,Jaylen Wells,SG/SF,MEM,23.0,151,1157,0.431,0.784,1.9,12.5,3.2,1.6,0.9,0.1,1.1
154,CJ McCollum,PG/SG,ATL,35.0,195,1110,0.455,0.772,2.5,18.7,3.3,3.9,0.8,0.5,1.8
155,Jimmy Butler,SG/SF/PF,GS,37.0,128,1209,0.521,0.864,0.8,20.0,5.6,4.9,1.4,0.2,1.6
156,Khaman Maluach,C,PHO,20.0,150,1160,0.533,0.710,0.1,3.0,2.9,0.1,0.1,0.7,0.5
157,Anfernee Simons,PG/SG,PHI,27.2,175,1125,0.440,0.896,2.7,14.3,2.5,2.4,0.5,0.1,1.3
158,Aaron Nesmith,SG/SF,IND,26.9,187,1115,0.415,0.829,2.3,13.8,4.2,1.9,0.6,0.5,1.4
159,Isaiah Stewart,PF/C,MEM,25.3,252,1092,0.550,0.756,0.7,10.0,5.0,1.1,0.3,1.6,1.1
160,Yanic Konan Niederhauser,C,LAC,23.5,136,1194,0.640,0.758,0.0,4.3,2.9,0.3,0.1,0.7,0.6
161,Herbert Jones,SG/SF/PF,NO,27.9,124,1217,0.383,0.806,1.4,8.9,3.4,2.8,1.6,0.5,1.3
162,P.J. Washington,SF/PF/C,DAL,28.0,165,1141,0.450,0.687,1.4,14.2,7.0,1.8,1.0,1.1,1.7
163,Bennedict Mathurin,SG/SF,LAC,24.2,164,1141,0.430,0.869,1.4,17.6,5.4,2.4,0.8,0.2,2.2
164,Robert Williams III,C,POR,28.9,511,949,0.708,0.596,0.2,6.7,7.0,1.0,0.6,1.5,0.8
165,Kevin Porter Jr.,PG/SG,MIL,26.3,490,971,0.465,0.878,1.2,17.4,5.2,7.4,2.2,0.5,2.9
166,Jaylon Tyson,SG/SF,CLE,23.8,331,1048,0.493,0.738,2.0,13.2,5.1,2.2,0.8,0.4,1.5
167,Zaccharie Risacher,SF/PF,DAL,21.4,173,1127,0.455,0.644,1.4,9.6,3.8,1.1,0.9,0.5,0.9
168,Aaron Gordon,PF/C,DEN,31.0,250,1093,0.497,0.767,1.7,16.2,5.8,2.7,0.6,0.3,1.1
169,Daniss Jenkins,PG/SG,DET,25.0,157,1148,0.408,0.832,1.0,9.3,2.3,3.9,0.9,0.2,1.6
170,Davion Mitchell,PG,MIA,28.0,588,863,0.490,0.636,1.3,9.3,2.7,6.5,1.0,0.2,1.5
171,Damian Lillard,PG/SG,POR,36.1,189,1113,,,,,,,,,
172,Joan Beringer,C,MIN,19.8,168,1136,0.663,0.703,0.0,3.9,2.3,0.3,0.2,0.7,0.3
173,Dillon Brooks,SF/PF,PHO,30.6,614,831,0.435,0.842,2.3,20.2,3.6,1.8,1.1,0.2,1.8
174,Daniel Gafford,C,DAL,27.9,156,1148,0.655,0.683,0.0,9.5,6.9,1.1,0.7,1.3,1.1
175,Aday Mara,C,OKC,21.4,216,1105,,,,,,,,,
176,Ty Jerome,PG/SG,MEM,29.2,141,1185,0.477,0.875,2.9,19.7,2.8,5.7,1.1,0.3,1.8
177,Grayson Allen,PG/SG/SF,CHA,30.9,186,1116,0.403,0.857,3.1,16.5,3.0,3.8,1.4,0.3,1.6
178,Terrence Shannon Jr.,SF/PF,MIN,26.1,340,1042,0.450,0.800,0.7,5.6,1.1,0.9,0.3,0.0,0.6
179,Malik Monk,PG/SG,SAC,28.6,199,1109,0.438,0.879,2.0,12.5,1.9,3.0,0.6,0.4,1.5
180,Jonathan Kuminga,SF/PF,ATL,23.9,184,1117,0.463,0.724,1.0,12.2,5.6,2.3,0.6,0.3,1.9
181,Ebuka Okorie,PG,DET,19.4,166,1141,,,,,,,,,
182,Christian Anderson,PG,CHA,20.4,127,1210,,,,,,,,,
183,Joshua Jefferson,PF,BKN,22.8,160,1145,,,,,,,,,
184,Jarace Walker,SF/PF,IND,23.0,163,1142,0.419,0.749,1.8,11.6,5.1,2.5,0.8,0.3,1.8
185,John Collins,PF/C,DET,28.9,174,1127,0.552,0.766,1.3,13.6,5.3,1.0,0.9,0.7,1.4
186,Neemias Queta,PF/C,BOS,27.1,669,641,0.653,0.703,0.0,10.2,8.4,1.7,0.8,1.3,1.0
187,Kyle Filipowski,PF/C,UTA,22.8,169,1134,0.492,0.750,1.0,11.4,7.2,2.6,0.9,0.5,1.6
188,Gui Santos,SF/PF,GS,24.2,462,988,0.500,0.725,1.2,9.2,3.9,2.3,0.9,0.3,1.5
189,Isaiah Collier,PG/SG,UTA,21.9,159,1146,0.495,0.722,0.5,11.7,2.5,7.2,1.1,0.3,2.5
190,Jordan Poole,PG/SG,NO,27.2,181,1119,0.372,0.860,2.5,13.4,2.0,3.1,0.6,0.4,1.8
191,Rui Hachimura,SF/PF,LAC,28.6,479,980,0.514,0.694,1.7,11.5,3.3,0.8,0.6,0.3,0.6
192,Jared McCain,PG/SG,OKC,22.5,147,1166,0.425,0.864,1.5,8.3,2.0,1.3,0.5,0.1,0.8
193,Carlton Carrington,PG/SG,WAS,21.1,171,1128,0.424,0.730,2.1,10.7,3.4,4.6,0.6,0.2,2.3
194,Will Riley,SF/PF,WAS,20.6,226,1103,0.439,0.800,1.1,10.3,2.9,2.0,0.7,0.1,1.3
195,Max Christie,SG/SF,DAL,23.6,516,943,0.441,0.899,2.3,12.3,3.2,2.0,0.6,0.4,1.2
196,Caris LeVert,SG/SF,MIL,32.0,563,884,0.417,0.679,1.0,7.4,2.0,2.7,0.9,0.7,1.4
197,Nique Clifford,SG/SF,SAC,24.6,206,1108,0.418,0.722,1.0,8.6,3.8,2.4,0.9,0.3,1.5
198,Noah Clowney,PF/C,BKN,22.1,176,1125,0.396,0.804,2.0,12.3,4.2,1.6,0.8,0.7,1.5
199,Oso Ighodaro,C,PHO,24.2,162,1143,0.653,0.453,0.0,6.5,5.1,2.3,0.9,0.7,1.2
200,Collin Sexton,PG/SG,LAL,27.7,225,1103,0.485,0.855,1.7,15.4,2.3,3.3,1.1,0.1,2.1
201,Carter Bryant,SF,SA,20.8,145,1168,0.408,0.714,0.7,4.2,2.5,0.7,0.2,0.3,0.5
202,Rasheer Fleming,PF,PHO,22.1,430,1003,0.403,0.559,0.8,4.3,2.3,0.3,0.4,0.4,0.5
203,Saddiq Bey,SF/PF,NO,27.4,618,822,0.451,0.841,2.1,17.7,5.6,2.5,0.9,0.1,0.9
204,Jaylin Williams,PF/C,OKC,24.2,710,587,0.423,0.793,1.5,7.2,5.5,2.4,0.5,0.6,1.0
205,Mitchell Robinson,C,BOS,28.4,429,1005,0.723,0.408,0.0,5.7,8.7,0.9,0.9,1.2,0.7
206,Leonard Miller,SF/PF,CHI,22.8,587,864,0.553,0.736,0.7,7.8,3.9,0.9,0.4,0.3,0.8
207,Max Strus,SG/SF,LAC,30.4,485,973,0.443,0.778,2.8,11.2,5.4,2.0,0.3,0.0,0.8
208,Jalen Smith,PF/C,CHI,26.5,486,973,0.483,0.742,1.6,10.2,6.7,1.2,0.5,0.8,1.0
209,Donte DiVincenzo,PG/SG,MIN,29.6,214,1106,0.406,0.743,3.0,12.2,4.1,3.8,1.3,0.4,1.4
210,Nikola Jovic,PF/C,MIA,23.2,401,1011,0.366,0.683,1.0,7.3,3.3,2.2,0.6,0.4,1.4
211,Ron Holland II,SF/PF,DET,21.2,347,1039,0.432,0.805,0.6,8.2,4.0,1.2,1.2,0.3,1.2
212,Cam Spencer,PG/SG,MEM,26.4,303,1071,0.473,0.940,2.0,11.1,2.5,5.6,0.7,0.2,1.3
213,Cam Whitmore,SF/PF,CLE,22.2,310,1064,0.456,0.742,0.8,9.2,2.8,0.7,0.7,0.4,0.9
214,Kasparas Jakucionis,PG,MIL,20.3,334,1046,0.429,0.879,1.3,6.2,2.6,2.6,0.6,0.1,0.9
215,De'Andre Hunter,SF/PF,SAC,28.8,514,944,0.415,0.867,1.7,13.7,4.1,2.0,0.7,0.1,1.7
216,Tobias Harris,PF,SA,34.1,245,1094,0.469,0.866,1.3,13.3,5.1,2.5,0.9,0.4,1.0
217,Obi Toppin,PF,IND,28.5,636,774,0.503,0.913,1.5,11.6,4.4,2.3,0.5,0.0,1.2
218,Cameron Carr,SG/SF,LAL,21.8,130,1207,,,,,,,,,
219,Jerami Grant,SF/PF,MEM,32.5,481,977,0.453,0.814,2.4,18.6,3.5,2.1,0.7,0.6,2.1
220,Ousmane Dieng,SF/PF/C,MIL,23.3,632,780,0.422,0.711,1.1,7.6,3.2,2.4,0.4,0.3,1.3
221,Dylan Cardwell,PF/C,SAC,24.7,180,1119,0.583,0.510,0.1,5.4,7.5,1.4,0.7,1.5,0.9
222,Naji Marshall,SG/SF/PF,DAL,28.6,647,740,0.510,0.760,0.8,15.2,4.7,3.3,1.1,0.1,1.6
223,Labaron Philon Jr.,PG/SG,PHI,20.8,116,1268,,,,,,,,,
224,Jusuf Nurkic,C,UTA,32.0,484,976,0.503,0.549,0.6,10.9,10.4,4.8,1.3,0.5,2.5
225,Sandro Mamukelashvili,PF/C,LAL,27.3,575,876,0.523,0.747,1.4,11.2,4.9,1.9,0.8,0.5,0.8
226,Nikola Vucevic,C,ORL,35.9,287,1080,0.493,0.828,1.6,15.1,8.4,3.3,0.6,0.6,1.3
227,Zuby Ejiofor,PF/C,ATL,22.4,377,1021,,,,,,,,,
228,Karim Lopez,SF/PF,MEM,19.4,161,1145,,,,,,,,,
229,Jayden Quaintance,PF/C,SA,19.1,179,1120,,,,,,,,,
230,Jay Huff,C,IND,29.0,549,895,0.476,0.828,1.5,9.5,4.0,1.5,0.5,1.9,0.9
231,Jamal Shead,PG,TOR,24.1,477,981,0.367,0.784,1.0,6.6,1.7,5.4,0.9,0.2,1.4
232,Dru Smith,PG/SG,MIA,28.7,570,879,0.415,0.829,0.5,5.6,2.5,2.6,1.4,0.3,0.8
233,Isaiah Jackson,C,LAC,24.6,523,935,0.637,0.648,0.0,6.7,5.3,0.9,0.7,0.9,1.1
234,Keon Ellis,PG/SG,BKN,26.7,383,1018,0.440,0.729,1.3,6.7,1.9,1.0,1.2,0.6,0.6
235,Thomas Sorber,C,OKC,20.7,333,1047,,,,,,,,,
236,De'Anthony Melton,PG/SG,GS,28.3,391,1015,0.406,0.826,1.5,12.3,3.2,2.6,1.6,0.4,1.9
237,Jrue Holiday,PG/SG,POR,36.2,472,985,0.451,0.838,2.6,16.3,4.6,6.1,1.0,0.1,2.8
238,Hugo González,SF,BOS,20.6,248,1093,0.476,0.500,0.6,3.9,3.3,0.5,0.6,0.3,0.5
239,Drake Powell,SG,BKN,21.0,339,1042,0.402,0.896,0.8,6.5,1.8,1.4,0.6,0.2,1.0
240,Brice Sensabaugh,SG/SF/PF,UTA,22.8,425,1005,0.460,0.826,2.2,14.9,3.1,1.9,0.7,0.2,1.7
241,Taylor Hendricks,SF/PF/C,MEM,22.8,277,1083,0.459,0.681,1.1,7.4,3.7,0.9,0.8,0.5,0.8
242,Yang Hansen,C,POR,21.2,369,1023,0.310,0.824,0.1,2.2,1.5,0.5,0.1,0.2,0.7
243,Kelly Oubre Jr.,SF/PF,IND,30.7,626,795,0.467,0.766,1.7,14.1,5.0,1.6,1.4,0.5,1.4
244,Quentin Grimes,SG/SF,LAL,26.3,553,892,0.450,0.840,1.7,13.4,3.6,3.3,0.9,0.4,1.8
245,Alex Karaban,SF/PF,SAC,23.8,301,1071,,,,,,,,,
246,Ryan Conwell,SG/PG,MIA,22.2,290,1077,,,,,,,,,
247,Sergio de Larrea,PG/SG,DAL,20.7,288,1079,,,,,,,,,
248,Draymond Green,PF/C,GS,36.5,611,833,0.418,0.702,1.5,8.4,5.5,5.5,0.9,0.6,2.7
249,Paul Reed,PF/C,DET,27.2,551,894,0.617,0.664,0.2,7.8,4.5,1.2,0.9,0.9,0.9
250,GG Jackson II,SF/PF/C,MEM,21.7,460,988,0.496,0.742,1.2,12.5,4.3,1.5,0.6,0.8,1.5
251,Henri Veesaar,,ATL,22.4,,,,,,,,,,,
252,Derrick Jones Jr.,SF/PF,LAC,29.5,639,765,0.499,0.763,1.1,10.1,3.5,1.4,0.9,1.0,0.8
253,Baba Miller,SF/PF/C,LAC,22.6,375,1022,,,,,,,,,
254,Richie Saunders,SG,MEM,25.0,182,1118,,,,,,,,,
255,Jaron Pierre Jr.,,NO,24.1,,,,,,,,,,,
256,Tyler Bilodeau,PF,BKN,22.4,190,1113,,,,,,,,,
257,Ryan Dunn,SF/PF,PHO,23.7,465,987,0.453,0.489,0.8,5.8,4.2,1.5,0.9,0.4,0.8
258,Miles McBride,PG/SG,NY,26.0,440,998,0.423,0.787,2.7,12.0,2.4,2.6,0.9,0.2,0.8
259,Danny Wolf,PF/C,BKN,22.3,240,1095,0.405,0.771,1.2,8.9,4.9,2.2,0.5,0.6,1.3
260,Cody Williams,SG/SF,UTA,21.8,388,1017,0.468,0.706,0.4,8.8,3.0,2.0,0.8,0.4,1.1
261,Josh Minott,SF/PF,BKN,23.8,658,677,0.498,0.787,1.3,7.4,3.2,0.9,0.9,0.5,0.9
262,Justin Champagnie,SF/PF,WAS,25.2,196,1110,0.502,0.784,0.8,8.7,5.6,1.2,0.9,0.6,0.7
263,Yves Missi,C,NO,22.3,356,1031,0.544,0.559,0.0,5.7,5.8,1.3,0.3,1.5,0.8
264,Luke Kornet,C,SA,31.1,517,943,0.641,0.825,0.0,6.5,6.1,1.9,0.5,1.0,0.4
265,Keldon Johnson,SF/PF,SA,26.9,497,965,0.519,0.794,1.2,13.2,5.4,1.4,0.6,0.1,0.9
266,Scotty Pippen Jr.,PG/SG,MEM,25.8,317,1060,0.443,0.783,1.0,11.4,2.2,4.7,1.9,0.4,2.7
267,Nolan Traoré,PG,BKN,20.3,338,1043,0.380,0.787,1.1,8.9,1.8,3.8,0.8,0.4,2.3
268,Noa Essengue,PF,CHI,19.7,419,1006,0.000,0.000,0.0,0.0,0.0,0.0,0.5,0.0,0.0
269,Pelle Larsson,SG/SF,MIA,25.5,444,996,0.496,0.797,0.9,11.4,3.5,3.4,0.7,0.2,1.4
270,Julian Champagnie,SG/SF,SA,25.2,650,708,0.437,0.844,2.4,11.1,5.8,1.5,0.8,0.5,0.9
271,Sam Merrill,SG/SF,CLE,30.3,594,856,0.461,0.855,3.0,12.8,2.6,2.4,0.6,0.1,0.8
272,Emanuel Sharp,SG,SAC,22.5,371,1023,,,,,,,,,
273,Tarris Reed Jr.,C,SA,23.1,201,1108,,,,,,,,,
274,Isaiah Evans,SG/PG/SF,MIN,20.7,203,1108,,,,,,,,,
275,Kobe Sanders,SG/SF,LAC,24.3,235,1098,0.466,0.826,1.2,7.3,2.3,1.6,0.7,0.1,1.2
276,Devin Carter,PG/SG,ATL,24.5,436,1000,0.416,0.713,0.8,8.9,3.3,2.7,0.9,0.2,1.4
277,Trevon Brazile,PF/C,DEN,23.7,194,1110,,,,,,,,,
278,Izaiyah Nelson,,ORL,22.9,,,,,,,,,,,
279,Koa Peat,PF/SF/C,PHO,19.6,229,1103,,,,,,,,,
280,Bruce Thornton,PG/SG,HOU,23.0,202,1108,,,,,,,,,
281,D'Angelo Russell,PG,MEM,30.5,471,986,0.405,0.717,1.3,10.2,2.3,4.0,0.5,0.1,1.9
282,Bradley Beal,SG/SF,LAC,33.2,409,1009,0.375,0.750,1.2,8.2,0.8,1.7,0.5,0.0,1.5
283,Goga Bitadze,C,ORL,27.1,656,691,0.676,0.711,0.0,5.9,5.0,1.3,0.6,1.0,0.7
284,Gradey Dick,SG/SF,LAC,22.8,294,1075,0.420,0.875,0.7,6.0,1.9,0.7,0.6,0.1,0.6
285,Jordan Walsh,SG/SF/PF,BOS,22.5,528,920,0.509,0.772,0.7,5.4,4.0,0.8,0.7,0.5,0.5
286,Luke Kennard,PG/SG,PHO,30.2,473,984,0.534,0.913,1.5,8.4,2.3,2.2,0.7,0.1,0.8
287,Jordan Miller,SG/SF,LAC,26.6,244,1095,0.531,0.777,0.6,10.0,3.0,2.3,0.8,0.2,1.1
288,Brandon Williams,PG,GS,26.8,286,1080,0.472,0.793,0.6,13.0,2.9,3.9,0.9,0.3,1.9
289,Jake LaRavia,SF/PF,LAL,24.8,612,832,0.459,0.763,1.0,8.2,4.0,1.8,1.3,0.5,1.1
290,Moussa Cisse,C,DAL,,261,1089,0.574,0.469,0.0,4.5,5.7,0.2,0.5,1.2,0.8
291,Aaron Wiggins,SG/SF,ATL,27.7,645,744,0.431,0.736,1.5,9.4,3.1,1.7,0.9,0.4,1.2
292,Ryan Nembhard,PG,ATL,23.5,205,1108,0.415,0.806,0.8,6.6,2.2,5.3,0.4,0.0,1.4
293,Isaiah Joe,SG/SF,DET,27.2,492,969,0.455,0.894,2.6,11.1,2.5,1.3,0.7,0.2,0.6
294,Sion James,SG/SF,CHA,23.7,424,1005,0.371,0.837,1.0,5.4,3.5,2.0,0.6,0.2,0.8
295,Walter Clayton Jr.,PG/SG,MEM,23.5,177,1121,0.384,0.901,1.1,7.8,2.0,4.0,0.6,0.3,1.7
