rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
312,Marcus Smart,PG/SG,HOU,32.5,627,795,0.395,0.822,1.6,9.3,2.8,3.0,1.4,0.4,1.5
313,Julian Strawther,SG/SF,DEN,24.4,625,803,0.467,0.814,1.0,7.2,2.0,1.1,0.4,0.1,0.6
314,Rob Dillingham,PG,CHI,21.7,348,1038,0.396,0.745,0.7,6.3,2.0,2.2,0.7,0.1,1.5
315,Zach Collins,C,CHI,28.8,579,873,0.578,0.700,0.9,9.7,5.6,1.5,0.2,0.4,1.0
316,Johnny Furphy,SG/SF,IND,21.7,509,950,0.470,0.486,0.7,5.1,4.4,1.2,0.6,0.2,0.8
317,Quinten Post,C,MEM,26.5,529,920,0.440,0.791,1.4,7.7,4.0,1.4,0.4,0.5,0.8
318,Marcus Sasser,PG,DAL,25.9,571,878,0.390,0.833,1.2,5.2,1.0,2.0,0.5,0.1,0.8
319,Precious Achiuwa,PF/C,SAC,27.0,619,821,0.529,0.554,0.4,10.1,6.7,1.4,0.9,0.7,0.9
320,Ja'Kobe Walter,PG/SG,TOR,22.0,337,1045,0.446,0.789,1.5,7.5,2.6,1.2,1.0,0.2,0.5
321,Harrison Barnes,SF/PF,SA,34.3,699,595,0.457,0.829,1.8,10.0,2.8,1.9,0.6,0.2,0.8
322,Marvin Bagley III,PF/C,DEN,27.5,643,750,0.618,0.660,0.4,10.5,6.1,1.4,0.5,0.7,1.0
323,Baylor Scheierman,SF,BOS,25.9,474,983,0.453,0.903,1.3,5.5,3.5,1.5,0.5,0.1,0.6
324,Cameron Payne,PG/SG,PHI,32.1,567,880,0.376,0.864,1.5,7.4,2.0,2.6,1.1,0.3,0.5
325,Royce O'Neale,SF/PF,CHA,33.2,677,624,0.421,0.711,2.7,9.8,4.8,2.7,1.1,0.4,1.3
326,Killian Hayes,PG,SAC,25.1,715,585,0.304,0.929,0.7,5.5,2.3,3.5,0.9,0.2,1.2
327,Caleb Love,PG/SG,PHI,24.9,,,0.388,0.735,1.9,10.4,2.3,2.5,0.6,0.1,1.3
328,Khris Middleton,SF/PF,WAS,35.1,547,897,0.420,0.875,1.1,10.2,3.7,2.8,0.7,0.1,1.7
329,Jeremy Sochan,PF/C,POR,23.3,482,977,0.500,0.731,0.3,3.6,2.4,0.9,0.4,0.2,0.5
330,DaRon Holmes II,PF/C,DEN,24.0,416,1007,0.508,0.786,0.8,3.7,1.4,0.6,0.0,0.2,0.5
331,Nikola Topic,PG,OKC,21.1,237,1097,0.431,0.400,0.6,5.2,1.9,4.4,0.5,0.0,2.5
332,Vince Williams Jr.,PG/SG/SF,UTA,26.0,453,991,0.353,0.780,1.4,7.5,3.9,4.2,0.7,0.4,1.8
333,Jose Alvarado,PG,NY,28.4,693,600,0.416,0.761,1.5,7.4,2.5,3.4,1.0,0.1,1.1
334,Nae'Qwan Tomlin,PF,CLE,25.7,,,0.478,0.770,0.4,5.8,2.9,0.8,0.6,0.5,0.5
335,Ben Sheppard,SG/SF,IND,25.1,646,742,0.434,0.765,1.3,7.1,3.0,1.8,0.6,0.1,0.6
336,Brook Lopez,C,LAC,38.4,642,750,0.428,0.757,1.5,8.5,3.6,1.3,0.6,1.2,0.8
337,Steven Adams,C,HOU,33.1,655,692,0.504,0.580,0.0,5.8,8.6,1.5,0.7,0.7,1.1
338,Karlo Matkovic,PF/C,NO,25.4,494,966,0.604,0.732,0.6,5.7,3.7,0.8,0.4,0.9,0.5
339,Jaxson Hayes,C,UTA,26.3,678,622,0.756,0.653,0.1,7.5,4.1,0.9,0.4,0.8,0.5
340,Jase Richardson,SG,ORL,20.9,393,1015,0.473,0.717,0.5,4.4,1.2,1.1,0.4,0.0,0.5
341,Klay Thompson,SG/SF,MIA,36.6,654,698,0.393,0.766,2.9,11.7,2.1,1.4,0.5,0.3,0.9
342,Kevin Huerter,SG/SF,DET,28.0,591,857,0.451,0.775,1.5,10.0,3.5,2.6,0.9,0.5,1.0
343,Ziaire Williams,SG/SF,LAL,25.0,637,769,0.425,0.850,1.5,10.2,2.4,1.1,1.4,0.4,1.1
344,Dean Wade,SF/PF,PHI,29.8,557,889,0.439,0.711,1.2,5.8,4.2,1.5,0.7,0.4,0.3
345,Landry Shamet,SG/SF,NY,29.5,,,0.437,0.711,2.0,9.3,1.8,1.4,0.6,0.2,0.6
346,Cam Thomas,SG/SF,MIL,24.9,362,1027,0.410,0.810,1.2,13.5,1.7,2.6,0.2,0.1,1.8
347,Jordan Goodwin,PG/SG/SF,PHO,27.9,751,569,0.413,0.696,1.6,8.7,4.9,2.2,1.5,0.2,0.9
348,Isaac Okoro,SF/PF,CHI,25.6,630,788,0.461,0.795,1.2,9.3,2.7,1.6,0.7,0.5,0.7
349,Bronny James,PG/SG,LAL,21.9,586,865,0.409,0.857,0.5,2.9,0.5,1.2,0.5,0.1,0.6
350,Moritz Wagner,C,BKN,29.4,644,750,0.426,0.819,0.6,6.9,3.2,0.8,0.4,0.1,0.5
351,Kris Dunn,PG/SG,LAC,32.5,712,586,0.476,0.765,1.0,7.3,3.3,3.6,1.6,0.2,1.4
352,Tyler Kolek,PG,NY,25.4,515,944,0.435,0.700,0.7,4.4,1.6,2.7,0.4,0.1,0.9
353,Tyus Jones,PG,DEN,30.3,499,964,0.349,0.778,0.6,3.0,1.1,2.4,0.6,0.0,0.4
354,Bruce Brown,PG/SG,DEN,30.0,628,794,0.476,0.764,0.7,7.9,3.9,2.1,1.0,0.3,1.1
355,Lonzo Ball,PG/SG,UTA,28.8,431,1002,0.301,0.667,1.1,4.6,4.0,3.9,1.3,0.3,1.5
356,Tre Jones,PG/SG,CHI,26.7,448,994,0.553,0.841,0.6,14.1,3.1,5.4,1.2,0.2,1.4
357,Micah Peavy,SG/SF,NO,25.1,292,1076,0.385,0.759,0.5,4.3,1.9,1.0,0.7,0.1,0.3
358,AJ Green,PG/SG/SF,MIL,26.9,722,582,0.424,0.855,3.0,10.4,2.7,1.9,0.5,0.1,1.0
359,Cole Anthony,PG,PHO,26.3,504,955,0.424,0.615,0.6,6.7,2.5,3.5,0.6,0.3,1.9
360,RayJ Dennis,PG,ATL,25.4,355,1034,0.313,0.889,0.8,4.4,1.5,1.9,0.2,0.2,1.0
361,Guerschon Yabusele,PF/C,CHI,30.7,498,965,0.401,0.750,1.0,5.6,3.5,0.9,0.4,0.2,0.6
362,T.J. McConnell,PG,IND,34.4,688,605,0.538,0.862,0.3,9.4,2.2,5.1,1.0,0.2,1.1
363,Patrick Williams,PF,CHI,25.0,365,1026,0.372,0.720,1.3,7.0,3.0,1.5,0.7,0.4,1.0
364,Dominick Barlow,PF/C,PHI,23.3,595,852,0.536,0.718,0.3,7.7,4.8,1.2,0.9,0.7,0.8
365,Tyrese Martin,PG/SG/SF,PHI,27.5,273,1084,0.394,0.679,1.2,6.3,2.5,1.7,0.5,0.2,0.9
366,Javon Small,PG/SG,MEM,23.7,211,1106,0.465,0.829,1.5,9.7,3.1,3.7,0.8,0.2,1.4
